,word,Frequency
0,ich,5890279
1,sie,3806767
2,das,3122198
3,ist,3025610
4,du,2947020
5,nicht,2756783
6,die,2484854
7,es,2303025
8,und,2289891
9,der,1726001
10,wir,1721620
11,was,1696010
12,zu,1424706
13,er,1352161
14,ein,1315301
15,in,1231372
16,ja,1054114
17,mir,1019451
18,mit,1014541
19,wie,928920
20,den,920646
21,mich,893076
22,auf,881418
23,dass,879520
24,aber,854492
25,eine,839485
26,so,813903
27,hat,799017
28,hier,754243
29,haben,742327
30,für,735252
31,sind,727078
32,war,712337
33,von,706490
34,wenn,694462
35,dich,688780
36,ihr,655351
37,nein,641479
38,habe,636175
39,an,627600
40,bin,576589
41,noch,572486
42,nur,564245
43,da,564244
44,dir,554802
45,sich,533395
46,einen,532402
47,uns,523604
48,hast,511491
49,dem,465044
50,kann,461755
51,gut,452726
52,auch,449250
53,schon,442343
54,als,440490
55,sein,440142
56,mal,435631
57,jetzt,435411
58,ihn,435147
59,dann,429424
60,aus,425184
61,meine,420280
62,um,417759
63,im,403737
64,wird,394216
65,mein,384765
66,bist,381498
67,doch,381456
68,alles,366575
69,weiß,357869
70,keine,349315
71,oder,341214
72,nach,326208
73,s,309957
74,nichts,308672
75,man,300922
76,muss,295567
77,werden,294676
78,will,293445
79,ihnen,292370
80,geht,290919
81,wo,288363
82,etwas,286968
83,oh,284455
84,mehr,281301
85,bei,277087
86,also,276548
87,bitte,261548
88,immer,260238
89,hab,252697
90,warum,251177
91,vor,247840
92,los,242543
93,können,240905
94,wieder,240508
95,sagen,236702
96,machen,228412
97,danke,227937
98,sehr,226425
99,alle,224850
100,denn,224543
101,mann,222707
102,tun,219102
103,ihm,217025
104,zum,216201
105,gehen,213952
106,sehen,212948
107,vielleicht,212216
108,einem,210889
109,wer,210823
110,ihre,208915
111,diese,208607
112,euch,206931
113,einer,202097
114,komm,201117
115,über,196855
116,gibt,196771
117,okay,196683
118,wissen,192456
119,deine,191923
120,müssen,191257
121,soll,191100
122,werde,187290
123,nie,185925
124,wirklich,185166
125,hey,185011
126,kein,177553
127,viel,176767
128,weg,175124
129,würde,175047
130,tut,172752
131,am,170913
132,des,169182
133,einfach,168892
134,leben,167721
135,hatte,162793
136,zeit,160393
137,weil,159743
138,willst,159106
139,kommen,156754
140,dein,155913
141,heute,154162
142,kommt,153845
143,wollen,152595
144,damit,150635
145,ganz,149683
146,wäre,149557
147,wollte,148643
148,weißt,147614
149,ok,147191
150,sicher,145360
151,gesagt,144870
152,frau,143725
153,nun,143552
154,bis,142166
155,wurde,141236
156,leid,140641
157,na,140395
158,kannst,136795
159,macht,134768
160,dieser,134205
161,zurück,133326
162,lassen,131393
163,hallo,128561
164,meinen,128288
165,gott,127498
166,seine,126038
167,hätte,125345
168,zwei,122625
169,könnte,117870
170,genau,117667
171,waren,117474
172,zur,115474
173,lass,115316
174,klar,113688
175,morgen,112042
176,leute,109956
177,vater,109048
178,schön,106669
179,glaube,105941
180,mr.,105640
181,ab,104853
182,gerade,104130
183,tag,103559
184,gesehen,103106
185,reden,101992
186,wohl,100488
187,liebe,99301
188,sollte,98826
189,sagte,98657
190,unsere,98478
191,jemand,98283
192,geld,98052
193,durch,97587
194,ob,97001
195,keinen,96394
196,mutter,95349
197,raus,95012
198,gemacht,94261
199,paar,93818
200,mach,93345
201,passiert,93021
202,dachte,92867
203,besser,92556
204,musst,92429
205,wieso,92191
206,sir,92012
207,dieses,91148
208,selbst,90135
209,gehört,89459
210,möchte,89068
211,ohne,88934
212,hör,88336
213,her,87571
214,sag,87203
215,meiner,86264
216,anderen,86205
217,helfen,85664
218,nacht,85102
219,finden,83987
220,diesen,83932
221,gute,83835
222,wirst,83791
223,lange,82872
224,natürlich,82710
225,ach,82252
226,meinem,82233
227,gar,82082
228,ins,80529
229,sei,80433
230,dort,79951
231,weiter,79598
232,geben,78926
233,seit,78517
234,gleich,78080
235,sagt,78008
236,recht,77861
237,ihren,76796
238,richtig,76789
239,ordnung,76635
240,vom,76597
241,hören,76109
242,sieht,75968
243,davon,75947
244,dafür,75302
245,geh,74468
246,diesem,74234
247,wegen,74062
248,hause,73059
249,sollten,72777
250,mädchen,72685
251,hin,72272
252,sollen,71445
253,abend,71375
254,haus,70976
255,denke,70824
256,viele,70545
257,drei,69824
258,deinen,69621
259,freund,69586
260,guten,68866
261,unser,68722
262,warte,68407
263,machst,67926
264,menschen,67631
265,essen,67594
266,angst,67249
267,bleiben,67238
268,zusammen,66885
269,welt,66821
270,unter,66173
271,habt,66045
272,schnell,66011
273,andere,65229
274,tot,64995
275,getan,64404
276,darf,64161
277,erst,64092
278,rein,64028
279,stimmt,63896
280,nehmen,63773
281,kinder,63716
282,eines,63710
283,glauben,63577
284,bringen,63285
285,ganze,62461
286,genug,62381
287,scheiße,61982
288,brauchen,61791
289,gegen,61438
290,moment,61265
291,junge,60843
292,steht,60832
